26978,5954.6,587.46,7530.1,576.65,5938.2,561.01,7773.1,579.86,8004.2,580.26,7114.7,574.96,4823.7,516.58
27218,5950.1,579.01,7736.3,577.89,5569.1,543.42,7082.7,565.57,8137.2,584.97,7179.8,573.81,4956,523.17
27459,6113.3,569.13,7661.2,571.11,5436.5,540.03,7901.7,581.92,8154,581.85,7183.5,561.84,4918.9,505.17
27699,5569.8,566.74,7323.3,569.74,6147.5,554.51,7807,578.64,7941,576.93,6807.4,555.1,4729.3,500.03
27939,7088.9,599.76,8004.6,587.04,5836.6,545.01,7948.6,578.22,8656.6,597.83,7564.8,568.86,5034.4,514.56
28178,6267.6,583.47,8054.5,594.62,6937.8,571.78,8379,596.52,8138.8,588.39,7110.1,564.88,4846.1,506.6
28419,6098.6,572.32,7813.5,581.68,5705.4,535.86,7704,579.31,7872.1,585.34,6500.7,545.77,4235.4,489.36
28659,5650.3,560.37,7763.4,576.1,6565.8,559.31,8223.7,590.98,7684,569.95,6673.7,538.81,4748.2,498.94
28899,6547.4,459.44,8471.4,544.17,7337.2,527.6,8455.8,566.7,7345,539.43,6459.7,516.11,4754.5,488.38
29138,6036,578.88,8291.9,595.4,6983.4,567.43,8563.5,604.5,7102.4,566.81,7102.1,553.9,4952.5,506.26
29378,5502.2,540.47,8203.8,571.49,5483.5,516.68,8413.7,595.78,7362.5,560.35,7023.9,543.05,5095.7,500.59
29618,5650.5,546.82,8037.5,567.19,5018,510.39,8111,585.86,8131.9,581.03,7153.7,548.66,5077.9,502.24
29858,6297.5,558.48,8559.3,577.36,5845.3,527.71,8722.4,600.79,8478.9,593.8,7810.9,563.58,5289.3,510.14
30098,6178.1,572.26,8171.5,575.13,5281.4,523.18,8295.9,593.2,8429.9,598.34,7434.8,560.1,4900,499.33
30338,5442,581.59,7953.5,587.61,4953.9,537.08,8421.4,636.42,8351.3,626.12,7363.5,596.94,4638.6,525.04
30578,6653.3,554.46,8469,555.83,6781.1,549.72,8380.9,591.73,8687.5,605.33,7612.3,549.28,4985.6,504.66
30820,6245.7,599.16,8235.6,590.98,6655.7,580.05,8324.7,621.42,8319.3,617.41,7239.2,573.63,5225.8,530.41
31059,6478.8,612.29,8217.7,586.14,6245.3,571.22,8539.1,639.86,8095.7,612.19,7040.4,573.25,5069.2,530.5
31298,4585.3,591.73,7358.7,571.02,5653.3,567.8,7761.9,618.7,7624.6,601.39,7074.3,575.25,5430.5,545.53
31539,5429.1,587,7632.9,570.79,5956.6,581.17,8126,640.02,6617.6,579.67,6260.7,556.09,5284.2,551.19
31778,5948.9,645.79,8029.5,613.63,5419.8,579.55,8233.7,653.84,8396.9,653.54,7644,609.45,5886.3,593.83
32018,5806.7,627.04,7912.2,610.52,5219.3,573.76,8056,641.28,8365.5,654.47,7714.5,611.18,5794.9,590.91
32258,4722,628.55,7157.5,615.77,4905,587.36,7638.9,641.31,8001.3,667.53,7268.7,612.66,5533.9,596.47
32498,6360.8,689.14,7856.5,645.24,5396.7,608.97,8238.6,663.5,8351.6,687.53,7826.8,633.65,5429.5,607.53
32738,5786.8,685.63,7491,653.98,5199.2,618.58,7964.5,659.93,7937.4,684.69,7599.5,641.64,5177.3,602.28
32978,5744.3,684.89,7545.6,655.14,5094.6,621.03,7764.4,659.92,7902.8,689.82,7701.5,644.34,5023.2,598.6
33218,4548.8,676.5,6766.6,651.52,4700.2,617.2,7019.9,646.51,7197.6,680.88,7157.2,634.51,4485.9,583.5
33460,5603.1,697.86,7424.3,680.98,6114.8,651.28,7781.7,671.17,7308.9,683.71,7580.2,653.71,4815.9,596.94
33698,5237.3,697.51,7236.5,691.61,5319.8,639.42,7401.2,669.26,6464.4,665.07,7122.8,648.43,4442.6,593.69
33939,4863.1,668.59,6488.7,657.57,5964.8,661.63,7128.7,660.78,6761.9,669.9,6882.2,630,5213.8,602.16
34179,4866.3,688.51,6504,688.96,5778.7,675.98,6665,658.8,6615.7,685.31,6833.4,638.87,5339.6,617.23
34419,5591.6,717.53,7317.4,717.32,5806.5,681.61,6913.5,667.62,6991.1,699.45,7286.8,656.58,5676.2,635.22
34659,5252.2,726.93,6935.1,722.5,4714.5,639.94,6353.1,657.18,6608.1,704.11,7045.6,654.38,5455.9,634.41
34898,4593.5,722.19,6236.3,704.91,4785.3,669.92,5649.9,644.96,6016,707.09,6565.9,652.4,5502.4,644.89
35138,5760.8,769.74,7211.1,735.98,5174.7,672.5,6299.4,670.11,6484,734.24,7265.4,681.3,5807.9,669.08
35379,5318,778.95,6856.8,739.63,4657,663.28,5860.5,657.09,5840.7,731.51,6842.3,679.73,5430.2,653.05
35618,4911.1,775.48,6171.1,718.24,4357.9,658.8,5584,664.78,5274.8,730.8,6348.4,673.82,5101,640.43
35858,4491.9,756.36,5716.6,692.21,4114.2,645.45,5271.7,659.22,4748.7,717.26,5841.5,656.71,4741,633.97
36098,4232.2,664.43,5564.3,667.78,4108.7,627.68,5053.4,638.34,4371.7,692.96,5454.2,633.26,4545.6,614.29
36338,4503.8,789.62,5801.4,712.7,4464.2,676.64,5026.7,665.43,4364.4,727.31,5427.1,650.13,4447,635.59
36579,4243.6,753.49,5622.3,695.88,4355.1,677.62,4774.5,646.67,4441.5,759.02,5282.5,641.28,4274.9,621.15
36818,3402.7,741.24,4792.4,686.33,3605.3,665.1,4101.4,634.71,3996.5,776.41,4733.6,633.52,4008.7,622.26
37058,4100.2,775.18,5393.8,717.93,3622.7,674.39,4400,653.62,4285.2,821.2,5447.3,672,4158.8,648.35
37298,3773.7,806.84,4960.7,721.42,3152.7,671.74,3904.8,639.27,3835,838.88,5046.5,689.97,3942.3,651.25
37538,3046.4,747.51,4869.1,733.61,3324.5,711.55,3473.6,627.98,3435.7,837,4278.4,660.97,3918.5,662.37
37778,3417.5,773.52,4556.9,719.67,2732,646.2,3353.3,613.36,3157.3,838.33,4495.6,696.4,3684.6,652.1
38018,3773.4,887.85,4737.3,764.51,2717.9,665.32,3487.7,644.25,3127.2,878.18,4497.2,731.33,3570.7,661.59
38258,3497.4,893.98,4397.3,782.86,2635.6,678.81,3437,665.93,2772.1,883.19,4212.5,749.49,3398.5,661.3
38499,2886.9,859.86,3848.7,762.23,2498.1,679.71,3091.2,665.2,2432.6,866.1,3821.3,744.7,3210.5,655.94
38739,2850.8,873.49,3890.8,789.89,2390.3,693.92,2914.1,668.66,2012.9,815.27,3672.3,766.45,2790,630.65
38979,2898,871.13,3696.2,762.32,2775.7,737.4,3096.6,696.1,2303.7,883.59,3641.2,781.6,3182.9,668.95
39219,2585.3,871.35,3372.4,776,2671.3,762.27,2902,705.59,2176.6,923.88,3436.6,812.8,3036.3,682.8
39458,2315,844.99,3122.6,779.74,2254.2,721.29,2707.5,707.24,2035.1,950.9,3116.1,803.65,2881.4,682.52
39698,2503.4,885.28,3218.3,814.87,2185.8,724.36,2864.3,727.22,2162.2,1026.3,3237.4,853.78,2912.6,723.02
39938,2224,925.38,2802.7,836.03,1965.6,728.51,2610.2,729.14,1831.8,1011.2,2865.3,854.92,2570.5,705.96
40178,2142.1,948.84,2680.4,859.27,2047.3,761.68,2495,719.67,1698,1015.3,2748.9,852.16,2403.8,698.77
40420,1830.4,941.86,2317.2,851.51,1736.5,733.02,2257.7,710.92,1491.2,1025.8,2493.5,871.66,2150.7,685.81
40658,1775.2,1090,2196.4,921.25,1657.9,763.09,2138.6,724.64,1393.5,1061.8,2426.3,936.17,2066.7,696.41
40899,1984.1,1099.5,2310.7,965.98,1762.3,767.05,2290.6,735.67,1362.9,1074.2,2439.9,947.31,2122.4,712.53
41139,1859.1,1076.1,2173.2,965.63,1742.8,782.23,2268,742.02,1248.7,1060.6,2319.2,948.82,1999.1,709.4
41377,1470,1083.9,1832,996.02,1633.7,819.05,2096.1,765.52,1157.2,1115.2,2022.9,942.21,1878.9,723.02
41619,1772.7,1143.4,2037,1078.8,1737.5,841.55,2314.9,798.72,1224.9,1181.1,2141.5,973.01,1983.5,760.04
41858,1510.2,1134.9,1863,1114.7,1527.5,839.9,2135.5,805.62,1109.7,1224.6,1878.2,973.05,1790,756.95
42098,1298.1,1071.5,1623.7,1116.3,1430.6,857.75,1992.8,818.62,1017.4,1253.5,1706.9,963.82,1709.1,749.55
42338,1117.1,1075.1,1479.7,1164.5,1301.6,869.9,1826.8,835.14,957.84,1320.9,1563.9,976.31,1642.4,769.7
42579,1268,1152,1528.3,1224.4,1304,877.17,1917.6,855.59,981.39,1418,1559.9,996.31,1573.2,765.23
42817,1230.2,1208.9,1412.3,1234,1262.1,916.01,1854.8,879.53,915.91,1419.3,1457.7,1007.5,1454.7,731.98
43059,1129.9,1208.4,1267.2,1233.6,1132.4,907.2,1704.4,874.62,807.26,1340.1,1336.2,988.3,1345.4,713.04
43299,1031.2,1243.9,1181.4,1289.9,1105.8,984.23,1632.9,905.29,749.02,1335.8,1247.9,1011.7,1410.5,790.82
43538,1143,1330.5,1238.2,1336.5,1185,1052.3,1674.3,918.33,775.62,1374.4,1275.2,1035.3,1398.1,789.2
43778,1011.9,1338.7,1111.5,1355.9,1123.6,1128.4,1549.9,936.06,736.41,1424.8,1130.7,1048,1282.3,781.78
44018,905.88,1342.8,971.07,1347.3,1044,1176.7,1340.9,901.56,683.87,1479.9,1020.8,1036.2,1208.7,791.95
44260,978.18,1381.2,1062.5,1424.9,1032.8,1178.8,1507.7,992.28,767.03,1683.6,1085,1112.4,1239.7,835.95
44498,875.19,1351.2,968.64,1463.6,1056.6,1382.7,1413.4,1002.7,707.58,1668.7,993.96,1089.4,1133,818.39
44738,787.99,1308.1,918.29,1481.4,949.28,1362,1314.6,998.85,666.58,1678.4,930.42,1106.5,1072.4,820.74
44980,618.5,1270.2,802.55,1495.1,843.98,1399.4,1149.3,1010.1,611.05,1692.4,837.72,1127.9,988.65,826.66
