25802,1287,199.94,1443.7,300.72,1340.4,312.24,851.88,265.1,1838.2,282.84,884.17,245.77,1498.5,254.86,1271.5,644.26,2368,338.93,1330,348
26102,1911.4,330.49,1732.9,399.82,1718.6,482.47,1192.6,487.18,2009.3,387.25,1450,451.13,1817.4,353.1,1259.4,803.01,2560.3,432.76,1437.5,455
26402,1658.4,261.49,1631.9,328.33,1357.9,322.63,1024.5,362.9,1899.3,312.93,1201.8,333.88,1525.8,265.95,1206.8,700.83,2431.3,365.77,1347.7,381.28
26703,1401.5,285.37,1416,324.21,1205.5,371.08,836.47,388.43,1760.3,356.77,983.68,345.6,1528.7,310.02,1096.2,774.6,2236.1,395.62,1170.1,402.57
27002,1666.8,275.05,1495.4,297.87,1217.2,309.78,829.77,342.51,1916.7,328.11,1097.5,330.03,1470.5,243.2,1189.9,727.07,2547.2,371.13,1299.7,374.31
27302,1420,325.47,1413.4,359.82,1134.6,421.75,814.99,479.78,1746.3,414.39,1139.4,460.57,1371.1,311.73,1052.5,906.74,2287.7,450.38,1190.5,455.8
27602,1306.9,280.73,1326.1,299.55,1033,323.98,658.09,351.88,1647.2,336.04,1107.7,399.6,1253.7,257.4,1029.5,785.71,2228.1,385.57,1158.8,398.49
27902,1231.2,267.98,1209.4,279.21,876.44,298.94,503.5,271.38,1423.2,286.88,973.96,342.62,1049.4,217.15,885.45,700.27,1947,334.1,1001.1,346.52
28202,1318.3,354.68,1343.9,341.47,946.23,360.49,582.99,395.58,1468.2,357.58,1014.5,438.7,1067,275.1,917.53,876.7,1943.6,396.27,1016.8,422.36
28503,1146.7,299.13,1269.2,320.09,1016.1,381.33,603.79,382.26,1340.1,305.24,990.37,405.16,1165.3,276.94,804.69,768.72,1759.2,344.34,899.02,377.29
28803,740.55,330.46,1017.2,338.96,823.44,440.74,409.92,419.3,970.87,336.89,670.72,422.92,882.53,321,633.29,939.46,1377.4,396.35,704.94,465.09
29103,1097.4,397.84,1213.4,345.32,1050.1,450.24,562.22,451.9,1208.7,344.19,946.07,488.53,1113.2,322.71,784.84,973.61,1699,399.84,896.08,497.37
29402,850.66,405.25,972.63,332.93,843.81,469.72,396.96,442.81,1006.4,369.34,752.22,504.45,770.57,305.57,613.06,1020.3,1403.8,404.84,701.09,520.46
